run_id,technique_id,artifact,sha256,is_lab
r20260920_230922_T1018,T1018,telemetry,368d3300eba38745121b49109158bf3217b625e32845da070dd2c2a5372b164c,true
r20260920_230922_T1087,T1087,telemetry,24cc54d705aeb31c7f9cefe122a554974da22259327de06a5d4cff302be384f2,true
r20260920_230922_T1021-004,T1021.004,telemetry,278c99e048a49c772fa46c3c22392e71340897beab8a746f578e3c863044e11a,true
r20260920_230922_T1543-003,T1543.003,telemetry,98ff6085db47949ea164cafb2a3c6322536586fdaae2cd766fbca3fdc28f2dfb,true
r20260920_230922_T1047,T1047,telemetry,6658123d79622469a7c5d7e88732644dc4ed5117406376d5afd4b9f211557c6d,true
r20260920_230922_T1078,T1078,telemetry,5424c53e78d17a14518e6c5fc923b65e4dd7143fffb3997d34d75da3ec79f907,true
r20260920_230922_T1570,T1570,telemetry,6a76514cdeba45897393f85919ceace6982d7f1f1e11cd53fa0a434a6c77f2d8,true
r20260920_230922_T1021-003,T1021.003,telemetry,d505928bb40950efab73878368ef84f835796d4eaa7a69794ec487be48081ae8,true
r20260920_230922_T1558-003,T1558.003,telemetry,2a2e34f0708cf1f80602228c19a5b4c5b418450014e09e4da6fba9d19cdfbfd8,true
r20260920_230922_T1550-003,T1550.003,telemetry,56fe98e61791ff7b54323799f5c8c02c5b8e567dfad4b47cec776b46bce74d35,true
r20260920_230922_T1550-002,T1550.002,telemetry,aa555b19eb735b2712d2a03fc28a5b3a954a224a61b123aa7726311e4aabf9d3,true
r20260920_230922_T1021-001,T1021.001,telemetry,55a21bc7cce07ecfa7442b63b9529e236ebffccd96d539d11290865784fdd2b9,true
r20260920_230922_T1021-006,T1021.006,telemetry,699e7678f582b5186ec027dfcf6e582069aa1f9e80ee5d74fa511d72aca99602,true
r20260920_230922_T1021-002,T1021.002,telemetry,631fd61cd69aa6b397054a27e0a613f12eb34113b11a11ec2cbded6f43b71e0e,true
