technique_id,expected,coverage,tp,fp,fn,precision,recall,f1
T1018,1,0,0,0,1,0.0,0.0,0.0
T1021.001,1,1,1,1,0,0.5,1.0,0.667
T1021.002,2,2,2,4,0,0.333,1.0,0.5
T1021.003,1,1,1,2,0,0.333,1.0,0.5
T1021.004,1,1,1,1,0,0.5,1.0,0.667
T1021.006,1,1,1,3,0,0.25,1.0,0.4
T1047,1,1,1,2,0,0.333,1.0,0.5
T1078,1,1,1,0,0,1.0,1.0,1.0
T1087,1,1,1,1,0,0.5,1.0,0.667
T1543.003,1,1,1,4,0,0.2,1.0,0.333
T1550.002,1,1,1,2,0,0.333,1.0,0.5
T1550.003,1,1,1,0,0,1.0,1.0,1.0
T1558.003,1,1,1,0,0,1.0,1.0,1.0
T1570,1,1,1,2,0,0.333,1.0,0.5
